,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
32563,SPT91759,2019,True,1306,,Nigeria,NG,Oyo,Oyo,undetermined,sensitive,undetermined,undetermined,resistant,resistant
29080,SPT67648,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29095,SPT67663,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29042,SPT67609,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
32616,SPT91822,2019,True,1306,,Nigeria,NG,Oyo,Oyo,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29090,SPT67658,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29233,SPT67811,2019,True,1200,,Ghana,GH,Ashanti,Ashanti,sensitive,sensitive,undetermined,undetermined,resistant,resistant
32771,SPT92000,2019,True,1306,,Nigeria,NG,Oyo,Oyo,sensitive,undetermined,undetermined,undetermined,resistant,resistant
29027,SPT67593,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
29075,SPT67643,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29504,SPT70673,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,sensitive,undetermined,undetermined,resistant,resistant
28967,SPT67528,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
29069,SPT67637,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,resistant,resistant
28944,SPT67504,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,undetermined,resistant,undetermined
29298,SPT70462,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,sensitive,undetermined,undetermined,undetermined,resistant,resistant
29089,SPT67657,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29057,SPT67625,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
29303,SPT70467,2019,True,1197,,Mali,ML,Koulikoro,Koulikoro,undetermined,sensitive,undetermined,undetermined,resistant,sensitive
28912,SPT67471,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
32785,SPT92015,2019,True,1306,,Nigeria,NG,Oyo,Oyo,undetermined,undetermined,undetermined,undetermined,resistant,resistant
28960,SPT67521,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28958,SPT67519,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,undetermined,sensitive,resistant,undetermined
29463,SPT70632,2019,True,1197,,Mali,ML,Segou,Segou,sensitive,sensitive,undetermined,undetermined,resistant,resistant
32818,SPT92054,2019,True,1306,,Nigeria,NG,Oyo,Oyo,sensitive,sensitive,undetermined,undetermined,resistant,resistant
28925,SPT67484,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
28922,SPT67481,2019,True,1294,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
