,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
22881,SPT38752,2015,True,1247,,Sudan,SD,Al Jazirah,Al Jazirah,sensitive,resistant,undetermined,undetermined,resistant,resistant
16247,SPT00901,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,resistant
25813,SPT50371,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26078,SPT50646,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25809,SPT50366,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25816,SPT50374,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
7927,QS0157-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
26074,SPT50642,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25804,SPT50361,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25688,SPT50242,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22659,SPT38455,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,resistant,undetermined,undetermined,undetermined,resistant
16248,SPT00902,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,resistant,sensitive,sensitive,resistant,resistant
25812,SPT50369,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16242,SPT00890,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,sensitive,undetermined,undetermined,resistant,sensitive
25806,SPT50363,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
16241,SPT00889,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,sensitive,undetermined,undetermined,resistant,resistant
26072,SPT50640,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26073,SPT50641,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26082,SPT50650,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
22657,SPT38452,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,sensitive,undetermined,undetermined,resistant,undetermined
26319,SPT50904,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,resistant
7931,QS0162-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
25694,SPT50248,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25800,SPT50357,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,undetermined
7938,QS0170-C,2015,True,1098,,Ethiopia,ET,Amhara,Amhara,sensitive,resistant,sensitive,sensitive,resistant,resistant
16239,SPT00883,2015,True,1146,,Sudan,SD,Kassala,Kassala,sensitive,undetermined,sensitive,sensitive,resistant,resistant
22653,SPT38446,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,resistant,undetermined,undetermined,resistant,undetermined
26084,SPT50652,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
26079,SPT50647,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,sensitive,sensitive,sensitive,resistant,resistant
25803,SPT50360,2015,True,1132,,Kenya,KE,Kilifi,Kilifi,sensitive,resistant,sensitive,sensitive,resistant,resistant
22660,SPT38460,2015,True,1247,,Sudan,SD,Khartoum,Khartoum,undetermined,sensitive,undetermined,undetermined,undetermined,resistant
